0.000000 5305116.000000 -1147410.000000
8.000000 5535016.000000 -1175023.000000
16.000000 5740181.000000 -1195443.000000
24.000000 5919861.000000 -1206944.000000
32.000000 6047132.000000 -1185636.000000
40.000000 6158966.000000 -1129896.000000
48.000000 6247532.000000 -1107173.000000
56.000000 6235401.000000 -1109570.000000
64.000000 6156527.000000 -1075462.000000
72.000000 6022277.000000 -1058890.000000
80.000000 5855692.000000 -1006649.000000
88.000000 5646900.000000 -963317.000000
96.000000 5420785.000000 -911633.000000
104.000000 5177149.000000 -851560.000000
112.000000 4920182.000000 -794169.000000
120.000000 4664548.000000 -738792.000000
128.000000 4408561.000000 -686395.000000
136.000000 4159872.000000 -637376.000000
144.000000 3928758.000000 -598559.000000
152.000000 3716718.000000 -557567.000000
160.000000 3534438.000000 -524087.000000
168.000000 3379034.000000 -498279.000000
176.000000 3250187.000000 -476167.000000
184.000000 3151404.000000 -458473.000000
192.000000 3081096.000000 -450598.000000
200.000000 3038494.000000 -439871.000000
208.000000 3022419.000000 -435252.000000
216.000000 3024733.000000 -435715.000000
224.000000 3045670.000000 -436205.000000
232.000000 3082383.000000 -437569.000000
240.000000 3127772.000000 -445287.000000
248.000000 3182083.000000 -453147.000000
256.000000 3242718.000000 -458250.000000
264.000000 3307953.000000 -469244.000000
272.000000 3373699.000000 -476861.000000
280.000000 3439315.000000 -486444.000000
288.000000 3499287.000000 -494833.000000
296.000000 3558951.000000 -500815.000000
304.000000 3610060.000000 -507779.000000
312.000000 3655207.000000 -514245.000000
320.000000 3696562.000000 -514932.000000
328.000000 3728746.000000 -517752.000000
336.000000 3755754.000000 -512143.000000
344.000000 3775098.000000 -514176.000000
352.000000 3784641.000000 -511486.000000
360.000000 3787129.000000 -503444.000000
368.000000 3783441.000000 -498059.000000
376.000000 3769386.000000 -490529.000000
384.000000 3748705.000000 -483521.000000
392.000000 3722358.000000 -475806.000000
400.000000 3689134.000000 -468837.000000
408.000000 3651521.000000 -464338.000000
416.000000 3612604.000000 -452423.000000
424.000000 3570546.000000 -444019.000000
432.000000 3529181.000000 -436666.000000
440.000000 3487600.000000 -428816.000000
448.000000 3449205.000000 -424812.000000
456.000000 3418829.000000 -414342.000000
464.000000 3387477.000000 -412629.000000
472.000000 3365590.000000 -407415.000000
480.000000 3347536.000000 -408747.000000
488.000000 3337872.000000 -406174.000000
496.000000 3332955.000000 -409456.000000
504.000000 3335069.000000 -406901.000000
512.000000 3340155.000000 -413137.000000
520.000000 3350406.000000 -414246.000000
528.000000 3365603.000000 -419356.000000
536.000000 3381540.000000 -418690.000000
544.000000 3399194.000000 -425481.000000
552.000000 3416277.000000 -425772.000000
560.000000 3432247.000000 -427175.000000
568.000000 3446134.000000 -429791.000000
576.000000 3458716.000000 -429905.000000
584.000000 3466889.000000 -431017.000000
592.000000 3474114.000000 -428099.000000
600.000000 3474949.000000 -428075.000000
608.000000 3472635.000000 -429148.000000
616.000000 3467864.000000 -428357.000000
624.000000 3460203.000000 -425232.000000
632.000000 3449915.000000 -423320.000000
640.000000 3437145.000000 -421008.000000
648.000000 3423727.000000 -419551.000000
656.000000 3408146.000000 -417687.000000
664.000000 3392633.000000 -415554.000000
672.000000 3377615.000000 -411784.000000
680.000000 3359778.000000 -412717.000000
688.000000 3345901.000000 -405414.000000
696.000000 3333445.000000 -402152.000000
704.000000 3320310.000000 -406444.000000
712.000000 3309553.000000 -405977.000000
720.000000 3302045.000000 -399446.000000
728.000000 3294810.000000 -400900.000000
736.000000 3289425.000000 -399378.000000
744.000000 3285787.000000 -403353.000000
752.000000 3283143.000000 -401995.000000
760.000000 3282291.000000 -403094.000000
768.000000 3280324.000000 -405420.000000
776.000000 3282417.000000 -406978.000000
784.000000 3283670.000000 -408529.000000
792.000000 3283931.000000 -409686.000000
800.000000 3285151.000000 -410124.000000
808.000000 3285808.000000 -410732.000000
816.000000 3287396.000000 -406157.000000
824.000000 3286913.000000 -407207.000000
832.000000 3286660.000000 -407955.000000
840.000000 3286237.000000 -405153.000000
848.000000 3282365.000000 -408624.000000
856.000000 3278472.000000 -405068.000000
864.000000 3273885.000000 -404361.000000
872.000000 3268428.000000 -401970.000000
880.000000 3261218.000000 -398395.000000
888.000000 3252347.000000 -403322.000000
896.000000 3243398.000000 -398097.000000
904.000000 3234889.000000 -395437.000000
912.000000 3224317.000000 -395289.000000
920.000000 3213140.000000 -393241.000000
928.000000 3203068.000000 -393204.000000
936.000000 3195291.000000 -393438.000000
944.000000 3185711.000000 -388601.000000
952.000000 3177231.000000 -388639.000000
960.000000 3170391.000000 -383686.000000
968.000000 3164512.000000 -381788.000000
976.000000 3158389.000000 -382249.000000
984.000000 3154942.000000 -380224.000000
992.000000 3152680.000000 -380424.000000
1000.000000 3151372.000000 -379009.000000
1008.000000 3150810.000000 -380174.000000
1016.000000 3147651.000000 -382839.000000
1024.000000 3148638.000000 -382171.000000
1032.000000 3148500.000000 -379765.000000
1040.000000 3147549.000000 -380321.000000
1048.000000 3147481.000000 -380432.000000
1056.000000 3145665.000000 -380353.000000
1064.000000 3144819.000000 -376845.000000
1072.000000 3142170.000000 -379983.000000
1080.000000 3137202.000000 -376269.000000
1088.000000 3132191.000000 -374225.000000
1096.000000 3128413.000000 -370191.000000
1104.000000 3121379.000000 -367764.000000
1112.000000 3115445.000000 -367987.000000
1120.000000 3106771.000000 -366793.000000
1128.000000 3098417.000000 -364091.000000
1136.000000 3090377.000000 -362656.000000
1144.000000 3081020.000000 -364181.000000
1152.000000 3071526.000000 -361197.000000
